city,position,company_name,company_size,company_type,company_industry,salary,education,ability,experience
上海·闵行·新虹,Java工程师,上海西信软件工程有限公司,100-299人,民营,云计算/大数据,16500.0,本科, ,5-10年
上海·黄浦·南京东路,Java工程师（面试定薪）,云锐人才服务(上海)有限公司,100-299人,民营,人力资源服务,15000.0,大专,JavaScript C++ Spring Mybatis MySQL Oracle Redis,1-3年
上海·杨浦·大桥,高级Java工程师-上海,北京三快在线科技有限公司,1000-9999人,上市公司,互联网,,本科, ,1-3年
上海·浦东·川沙新,高级java工程师,上海睿沃信息科技有限公司,20-99人,民营,IT服务,23000.0,本科,Spring,5-10年
上海·浦东·陆家嘴,Java工程师（面试定薪）,云锐人才服务(上海)有限公司,100-299人,民营,人力资源服务,15000.0,大专,JavaScript C++ Spring Mybatis MySQL Oracle Redis,1-3年
上海·浦东·潍坊新村,高级java工程师,北京青钱信息技术有限公司,500-999人,民营,计算机软件,18500.0,本科,Spring MySQL Oracle MongoDB Mybatis Java,10年以上
上海·浦东·金桥,高级java工程师,东软集团股份有限公司,500-999人,合资,计算机软件,20000.0,本科,JavaScript CSS Spring Oracle,3-5年
上海·浦东·张江,初级java工程师,英特利普(上海)信息技术有限公司,100-299人,外商独资,人力资源服务,15000.0,本科,JavaScript Python Spring MySQL Redis,3-5年
上海·静安·南京西路,Java,北京科锐国际人力资源股份有限公司苏州分公司,1000-9999人,上市公司,咨询服务,21000.0,本科,Java,3-5年
上海·杨浦·平凉路,高级java工程师（上海）,南京功城狮网络科技有限公司,20-99人,民营,计算机软件,12000.0,学历不限,Java SpringMVC SpringCloud Redis Mybatis,3-5年
上海·浦东·潍坊新村,高级java工程师(外派到银联),北京青钱信息技术有限公司,500-999人,民营,计算机软件,19000.0,本科,JavaScript Spring MySQL Redis,5-10年
上海·浦东·潍坊新村,中高级java工程师,上海春笛信息科技有限公司,300-499人,民营,计算机软件,13000.0,本科,MySQL Spring,3-5年
上海·杨浦·五角场,高级JAVA工程师[后端和中台],北京汇法正信科技有限公司,500-999人,其它,互联网,19000.0,本科,Java Python 区块链,3-5年
上海·闵行·浦江,java工程师-双休-朝九晚五,上海领时人力资源服务有限公司,10000人以上,民营,银行,14500.0,大专,JavaScript Python CSS Spring Hibernate Struts MySQL PostgreSQL Redis,3-5年
上海·长宁·天山路,Java工程师/专家,拼多多,1000-9999人,民营,互联网,32500.0,本科,Java Python C++ PHP,经验不限
上海·杨浦·五角场,高级java工程师,上海坤亿信息技术有限公司,20-99人,民营,计算机软件,14500.0,本科,JavaScript Spring MySQL PostgreSQL,3-5年
上海·嘉定·南翔,资深Java工程师,格林酒店(上海)有限公司,10000人以上,民营,酒店/民宿,27500.0,本科,后端开发,5-10年
上海·徐汇·龙华,中高级Java工程师,上海天正软件有限公司,100-299人,民营,计算机软件,12500.0,本科,JavaScript,3-5年
上海·青浦·重固,JAVA工程师-外包 (MJ002189),申通快递,10000人以上,上市公司,货运/物流/仓储,20000.0,大专,Java,3-5年
上海·闵行·江川路,JAVA工程师（新）,上海飒智智能科技有限公司,100-299人,民营,人工智能,20000.0,本科, ,5-10年
