city,position,company_name,company_size,company_type,company_industry,salary,education,ability,experience
北京·海淀·学院路,Java工程师,中能锐赫,20-99人,股份制企业,计算机软件,16000.0,本科,THYMELEAF SPRING BOOT Java MySQL ERP,3-5年
北京·海淀·四季青,java工程师,航天宏图信息技术股份有限公司,1000-9999人,上市公司,计算机软件,16000.0,本科,Java Spring oracle数据库 GIS MySQL数据库 Eclipse,3-5年
北京·大兴·荣华街道,资深JAVA工程师（职位编号：LZHR154）,朗致集团,10000人以上,民营,医药制造,32500.0,大专,Java,5-10年
北京·大兴·荣华街道,Java 工程师-AIGC 项目,北京金电恒通科技有限公司,100-299人,其它,计算机软件,14000.0,本科,AIGC相关技术,3-5年
北京·朝阳·东湖,Java工程师,北京三快在线科技有限公司,1000-9999人,上市公司,互联网,,本科, ,1-3年
北京·海淀·甘家口,中高级java工程师,知了育才(北京)科技有限公司,500-999人,股份制企业,培训/辅导服务,14000.0,本科, ,5-10年
北京·昌平·北七家,中级java工程师（技术研发中心）,航星永志,500-999人,民营,计算机软件,12500.0,大专, ,5-10年
北京·朝阳·东湖,高级Java工程师（餐饮信息）,北京三快在线科技有限公司,1000-9999人,上市公司,互联网,,本科, ,1-3年
北京·西城·牛街,高级java工程师,北京得翼科技有限公司,20-99人,民营,计算机软件,16000.0,本科,Java 多线程 MySQL Oracle,5-10年
北京·丰台·右安门,中级java工程师,南京烽兆科技有限公司,20-99人,民营,互联网,17000.0,本科,Docker K8s,3-5年
北京·昌平·沙河,高级java工程师,北京中软环球信息技术有限公司,100-299人,股份制企业,计算机软件,16000.0,本科,Spring JavaScript,5-10年
北京·昌平·北七家,Java工程师,中合金源科技(北京)有限公司,20-99人, ,IT服务,19500.0,本科,JavaScript Spring MySQL,5-10年
北京·海淀·马连洼,中高级java工程师（银行）,先进数通,1000-9999人,股份制企业,IT服务,17500.0,本科,Java SpringCloud,3-5年
北京·西城·西长安街,Java工程师（面试定薪）,云锐人才服务(上海)有限公司,100-299人,民营,人力资源服务,15000.0,大专,JavaScript C++ Spring Mybatis MySQL Oracle Redis,1-3年
北京·西城·展览路,高级java工程师,郑州启宏软件科技有限公司,20人以下, ,互联网,15000.0,本科,Spring,5-10年
北京·朝阳·十八里店,高级java工程师,山东伯睿英联企业管理咨询有限公司,20-99人,股份制企业,咨询服务,35000.0,本科,Java,3-5年
北京·朝阳·南磨房,java工程师,中海安(北京)咨询有限公司,100-299人,民营,咨询服务,17500.0,本科,全栈开发 前端开发 后端开发,3-5年
北京·海淀·西三旗,中级java工程师,宸瑞股份,100-299人,股份制企业,云计算/大数据,15500.0,本科,JavaScript ElasticSearch MySQL Oracle,5-10年
北京·东城·和平里,java工程师,深圳市法本信息技术股份有限公司,1000-9999人,上市公司,计算机软件,17500.0,本科,Java Spring 数据库 Linux Dubbo 分布式 多线程,3-5年
北京·丰台·看丹,高级java工程师,北京商海文天科技发展有限公司,100-299人,民营,人工智能,22500.0,本科, ,3-5年
