city,position,company_name,company_size,company_type,company_industry,salary,education,ability,experience
南京·雨花台·铁心桥,JAVA工程师,安徽微学蓝网络科技有限公司,100-299人,其它,互联网,12500.0,本科,JavaScript Spring MySQL Oracle 掌握TOMCAT,3-5年
南京·建邺·沙洲,中高级java工程师（银行核心系统）,北京神州数字科技有限公司,10000人以上,上市公司,计算机软件,19000.0,本科,后端开发 SpringCloud SpringBoot,3-5年
南京·雨花台·雨花,高级java工程师,湖南拓维云创科技有限责任公司,1000-9999人,上市公司,互联网,16000.0,本科,JavaScript Spring MySQL,5-10年
南京·江宁·秣陵,高级java工程师,江苏三江天地科技发展有限公司,20-99人,民营,IT服务,20000.0,本科,Mybatis Spring MySQL Oracle SPRINGBOOT SPRINGCLOUD jQuery,3-5年
南京·建邺·沙洲,中高级java工程师,大连铭信科技发展有限公司,20-99人,民营,互联网,13500.0,本科,Spring JavaScript,5-10年
南京·浦口·泰山,Java工程师,南京普医信信息科技有限公司,100-299人,民营,IT服务,7500.0,本科,SQL Spring MySQL SQL Server Oracle Vue,1-3年
南京·建邺·沙洲,中级Java工程师（半年短期项目）,三才智者,20-99人,民营,计算机软件,10000.0,大专,JavaScript SPRINGBOOT SPRINGCLOUD Redis ROCKETMQ Vue,3-5年
南京·秦淮·光华路,高级java工程师,诚迈科技,1000-9999人,上市公司,运营商/增值服务,14500.0,本科,SPRINGCLOUD Mybatis DUBBO、REDIS、MQ,3-5年
南京·玄武·锁金村,Java工程师(南京),弘正储能(上海)能源科技有限公司,100-299人,民营,新能源,17500.0,本科,电力,5-10年
南京·雨花台·铁心桥,java工程师,安徽微学蓝网络科技有限公司,100-299人,其它,互联网,11500.0,本科,Spring MySQL,3-5年
南京·雨花台·雨花,中高级java工程师,南京维拓科技股份有限公司,300-499人,民营,计算机软件,15000.0,本科,JavaScript Spring Mybatis Hibernate,3-5年
南京·江宁·淳化,初中级java工程师,软通动力信息技术(集团)股份有限公司,10000人以上,民营,互联网,11000.0,本科,SPRINGMVC SPRINGBOOT SPRINGCLOUD MySQL,经验不限
南京·雨花台·铁心桥,java工程师,成都迈思信息技术有限公司,1000-9999人,民营,计算机软件,10000.0,大专,JavaScript Spring Mybatis MySQL,3-5年
南京·江宁·秣陵,银行柜面经验2-8年java工程师,长亮科技,1000-9999人,上市公司,计算机软件,18000.0,本科,Spring 柜面 赞同 核算,3-5年
南京·江宁·秣陵,中高级java工程师,软通动力信息技术(集团)股份有限公司,10000人以上,民营,互联网,14000.0,本科,Hibernate Spring Struts,3-5年
南京·雨花台·铁心桥,java工程师,武汉佰钧成技术有限责任公司,1000-9999人,民营,计算机软件,13000.0,本科,Redis Spring JavaScript,3-5年
南京·秦淮·中华门,中级java工程师,江苏探路者国际物流有限公司,100-299人,民营,货运/物流/仓储,12000.0,本科,JavaScript CSS PHP Spring,3-5年
南京·鼓楼·华侨路,java工程师-双休-朝九晚五,上海领时人力资源服务有限公司,10000人以上,民营,银行,14500.0,大专,JavaScript Python CSS Spring Hibernate Struts MySQL PostgreSQL Redis,3-5年
南京·秦淮·五老村,Java工程师,北京信联互动科技有限公司,20-99人,民营,计算机软件,12500.0,本科,CSS HTML MVVM JS Gradle,3-5年
南京·雨花台·铁心桥,中高级java工程师,中电金信软件有限公司,10000人以上,国企,计算机软件,13000.0,本科,JavaScript C++ Spring MySQL Oracle PostgreSQL,3-5年
