city,position,company_name,company_size,company_type,company_industry,salary,education,ability,experience
广州·天河·天河南,Java工程师（面试定薪）,云锐人才服务(上海)有限公司,100-299人,民营,人力资源服务,15000.0,大专,JavaScript C++ Spring Mybatis MySQL Oracle Redis,1-3年
广州·黄埔·云埔,中高级java工程师,广州视源电子科技股份有限公司,1000-9999人,民营,电子/半导体/集成电路,22500.0,本科,Spring Mybatis PostgreSQL,3-5年
广州·天河·冼村,java工程师（全额公积金，线上面试，不需要现场）,外企德科数字技术有限公司,10000人以上,上市公司,人力资源服务,22500.0,本科,Spring Java SPRINGBOOT MySQL Oracle,经验不限
广州·天河·天园,中级java工程师,广州秒到信息科技有限公司,20人以下,民营,IT服务,13500.0,本科, ,3-5年
广州·海珠·赤岗,java工程师（入职快+需求多+base深圳）,德科信息有限公司,1000-9999人,民营,IT服务,12000.0,本科,Spring JavaScript MySQL,3-5年
广州·天河·元岗,中高级java工程师,广东铭太信息科技有限公司,100-299人,民营,计算机软件,13500.0,本科,JavaScript Spring MySQL Oracle Java,3-5年
广州·荔湾·金花,JAVA工程师/ python测试开发/C++,软通动力信息技术(集团)股份有限公司,10000人以上,民营,互联网,8500.0,本科,Python C++ Spring Mybatis,3-5年
广州·天河·天园,中级java工程师,广州秒到信息科技有限公司,20人以下,民营,IT服务,13500.0,本科, ,3-5年
广州·白云·棠景,JAVA工程师(J10093),广之旅,1000-9999人,国企,旅游服务,10000.0,本科,JavaScript CSS Mybatis MySQL Oracle Hibernate Spring,1-3年
广州·越秀·北京街道,Java工程师,广州市时代宏泰投资有限公司,1000-9999人,上市公司,房地产开发,17500.0,本科,RPA Spring MySQL Oracle,1-3年
广州·黄埔·联和,中高级java工程师,广州穗华能源科技有限公司,20-99人,民营,电力/水利/热力/燃气,13000.0,本科,Java SPRINGCLOUD Docker,3-5年
广州·天河·天河南,高级java工程师,上海钦诚信息科技有限公司,20-99人, ,计算机软件,22500.0,本科,JavaScript Spring MySQL,5-10年
广州·天河·林和,Java工程师(精通日语或英语）,四川智服人力资源有限公司,500-999人,民营,人力资源服务,35000.0,大专,JavaScript Spring,5-10年
广州·天河·天河南,高级java工程师,广州极热玩家运动科技有限公司,20人以下,民营,互联网,20000.0,本科,Redis Java 后端开发 微服务架构 Spring MySQL,5-10年
广州·黄埔·九佛,java工程师(英文好),深圳市优诚信息技术有限公司,100-299人,民营,IT服务,19000.0,学历不限,Spring MARIADB 微服务架构 英语/雅思,经验不限
广州·天河·天园,Java工程师,中电金信软件有限公司,10000人以上,国企,计算机软件,14500.0,本科,Java Spring MySQL Oracle,1-3年
广州·白云·云城,java工程师,广州潮流服装有限公司,20人以下,民营,互联网,12500.0,学历不限,JavaScript Spring Ehcache Struts CSS Python MySQL,经验不限
广州·越秀·大塘,高级Java工程师,北京金之盾信息技术有限公司,100-299人,股份制企业,IT服务,15000.0,本科,J2EE JSP Servlet Java,3-5年
广州·海珠·琶洲,Java工程师——长期驻场电信子公司,北京神州数字科技有限公司,10000人以上,上市公司,计算机软件,15000.0,本科,后端开发 电信 联通,3-5年
广州·白云·云城,全栈开发JAVA工程师,深圳兴杰星科技有限公司,100-299人,民营,IT服务,30500.0,本科,全栈开发 Java JAVA 8 JAVA 11 SPRING FRAMEWORK ORM FRAMEWORKS MySQL MARIADB AGILE PRACTICES,5-10年
