city,position,company_name,company_size,company_type,company_industry,salary,education,ability,experience
成都·武侯·石羊,java工程师（不加班）,四川千正科技有限责任公司,100-299人,股份制企业,贸易/进出口,11500.0,大专,Java,1-3年
成都·武侯·桂溪,高级JAVA工程师（通威股份总部）(J10058),通威集团,10000人以上,上市公司,新能源,19000.0,本科,MySQL PostgreSQL Oracle Mybatis SPRINGBOOT Java Dubbo zookeeper Kubernetes,5-10年
成都·锦江·柳江,后端JAVA工程师,安徽微学蓝网络科技有限公司,100-299人,其它,互联网,12000.0,本科,JavaScript Spring MySQL Oracle 掌握TOMCAT,3-5年
成都,成都研发-高级JAVA工程师,北京三快在线科技有限公司,1000-9999人,上市公司,互联网,,本科, ,3-5年
成都·武侯·石羊,java工程师,四川邦泰物业服务有限公司,1000-9999人,民营,房地产开发,13500.0,本科,JavaScript Java Spring Mybatis MySQL,经验不限
成都·武侯·桂溪,中高级java工程师,成都海天数联科技有限公司,20-99人,民营,计算机软件,15000.0,本科,linux IDEA 微服务架构,3-5年
成都·双流·西航港,中级java工程师,天味食品,1000-9999人,上市公司,快速消费品,,本科,JavaScript,5-10年
成都·武侯·石羊,Java工程师,湖北益才企业管理有限公司枣阳分公司,20-99人,民营,电子商务,14500.0,本科,Spring MySQL,经验不限
成都·武侯·桂溪,高级java工程师,九章开物(重庆)科技有限公司,100-299人,国企,互联网,12500.0,本科,JavaScript Spring Mybatis Redis MySQL,5-10年
成都,成研- 到家CRM平台-高级Java工程师,北京三快在线科技有限公司,1000-9999人,上市公司,互联网,,本科, ,1-3年
成都·武侯·玉林,高级java工程师,蓝象供应链管理(天津)有限公司,20-99人,其它,货运/物流/仓储,12000.0,本科,JavaScript Spring MySQL VUE3 Struts,3-5年
成都·武侯·红牌楼,java工程师,四川果岭云仓科技产业发展有限公司,100-299人,民营,财务/审计/税务,9000.0,本科,JavaScript,3-5年
成都·郫都·合作街道,java工程师（全额公积金，线上面试，不需要现场）,外企德科数字技术有限公司,10000人以上,上市公司,人力资源服务,22500.0,本科,Spring Java SPRINGBOOT MySQL Oracle,经验不限
成都·武侯·桂溪,中高级java工程师（算法方向）,成都图巧科技有限公司,500-999人,民营,互联网,22500.0,本科,JavaScript Python Spring MySQL Redis 大数据量,5-10年
成都·武侯·石羊,高级java工程师,深圳市法本信息技术股份有限公司,1000-9999人,上市公司,计算机软件,16000.0,本科,微服务 电商 餐饮,5-10年
成都·锦江·沙河,JAVA工程师,四川小龙坎控股集团有限公司,1000-9999人,民营,餐饮服务,15000.0,本科,JavaScript Spring MySQL PostgreSQL,3-5年
成都·金牛·金泉,Java工程师-数据业务（成都）,经纬恒润,1000-9999人,民营,电子/半导体/集成电路,23500.0,本科,Java Spring Eclipse,3-5年
成都·青羊·蔡桥,高级java工程师,成都养路工数字科技有限公司,20-99人,民营,计算机软件,12500.0,本科,JAVA虚拟机原理 MySQL Oracle SPRINGBOOT SPRINGCLOUD Redis FLOWABLE ES,5-10年
成都·武侯·石羊,中高级java工程师,四川智水信息技术有限公司,20-99人,民营,通信/网络设备,12500.0,本科, ,5-10年
成都·青羊·西御河,中高级java工程师,大连杰路管理咨询有限公司,20人以下,民营,咨询服务,15000.0,本科,Spring Mybatis Redis MySQL,3-5年
