city,position,company_name,company_size,company_type,company_industry,salary,education,ability,experience
杭州·拱墅·湖墅,java工程师（急招/双休）,拓保软件,1000-9999人,民营,计算机软件,16000.0,本科,Spring Mybatis Redis Oracle MySQL SPRINGBOOT,3-5年
杭州·滨江·西兴,中级java工程师,博彦科技承德有限公司,1000-9999人,股份制企业,IT服务,11500.0,本科,JavaScript Spring Redis,3-5年
杭州·滨江·浦沿,初中级java工程师,中电金信软件有限公司,10000人以上,国企,计算机软件,16000.0,本科,JavaScript Spring,3-5年
杭州·滨江·长河,java工程师-双一流及以上-甲方直聘-双休,武汉市江水人才信息技术有限公司,100-299人,其它,互联网,30000.0,本科,Java 跨境电商 电商,3-5年
杭州·滨江·长河,中高级java工程师,外企德科数字技术有限公司,10000人以上,上市公司,人力资源服务,22500.0,本科,C++,经验不限
杭州·滨江·西兴,高级java工程师,中科软科技股份有限公司,1000-9999人,股份制企业,计算机软件,18000.0,本科,MySQL MongoDB Redis SPRING BOOT git,5-10年
杭州·滨江·西兴,高级Java工程师（控股集团）,博彦科技承德有限公司,1000-9999人,股份制企业,IT服务,16000.0,本科,Java,5-10年
杭州·萧山·北干,java工程师-双休-朝九晚五,上海领时人力资源服务有限公司,10000人以上,民营,银行,14500.0,大专,JavaScript Python CSS Spring Hibernate Struts MySQL PostgreSQL Redis,3-5年
杭州·滨江·长河,中高级java工程师,中电金信软件有限公司,10000人以上,国企,计算机软件,17500.0,本科,Spring Oracle MySQL,5-10年
杭州·萧山·城厢,高级JAVA工程师,慧橙新能源发展(杭州)有限公司,20人以下,民营,矿产/采掘,18500.0,本科,Spring MySQL,5-10年
杭州·上城·紫阳,Java工程师(J10357),睿智合创(北京)科技有限公司,100-299人,民营,互联网金融/小额贷款,15000.0,本科,JavaScript Spring MySQL,3-5年
杭州·萧山·宁围,Java工程师（后端）,浙江群硕数字科技有限公司,1000-9999人,民营,计算机软件,13000.0,本科, ,3-5年
杭州·滨江·长河,高级java工程师（金融机构派驻）,上海元年金融信息服务有限公司,100-299人,民营,基金,16500.0,本科,Spring MySQL Redis Oracle,3-5年
杭州·滨江·浦沿,中高级java工程师,深圳市汇合发展有限公司,10000人以上,其它,咨询服务,17500.0,本科,后端开发 SpringBoot SpringCloud 微服务架构,3-5年
杭州·西湖·翠苑,中级java工程师,浙江圣博创新科技有限公司,100-299人,民营,物联网,13500.0,本科,JavaScript Spring MySQL SQLServer,3-5年
杭州·滨江·长河,中高级java工程师,中电金信软件有限公司,10000人以上,国企,计算机软件,17500.0,本科,Spring MySQL Oracle,5-10年
杭州·滨江·长河,java工程师（全额公积金，线上面试，不需要现场）,外企德科数字技术有限公司,10000人以上,上市公司,人力资源服务,22500.0,本科,Spring Java SPRINGBOOT MySQL Oracle,经验不限
杭州·萧山·北干,java工程师,杭州卓硕科技有限公司,20-99人,民营,互联网,20000.0,本科,全栈开发 后端开发 前端开发,3-5年
杭州·上城·望江,java工程师-双休-朝九晚五,上海领时人力资源服务有限公司,10000人以上,民营,银行,14500.0,大专,JavaScript Python CSS Spring Hibernate Struts MySQL PostgreSQL Redis,3-5年
杭州·西湖·翠苑,Java工程师,浙江泛洋教育信息咨询有限公司,20-99人,民营,咨询服务,16000.0,本科,JavaScript Python Spring Mybatis Hibernate MySQL PostgreSQL Redis,1-3年
