city,position,company_name,company_size,company_type,company_industry,salary,education,ability,experience
武汉·武昌,Java工程师（面试定薪）,云锐人才服务(上海)有限公司,100-299人,民营,人力资源服务,15000.0,大专,JavaScript C++ Spring Mybatis MySQL Oracle Redis,1-3年
武汉·洪山·关山,中高级java工程师,郑州迪维勒普科技有限公司,100-299人,股份制企业,IT服务,12000.0,本科,JavaScript,3-5年
武汉·洪山·九峰,Java工程师（常驻武汉小米）,软通动力信息技术(集团)股份有限公司,10000人以上,民营,互联网,14000.0,本科,MySQL Spring Scala,5-10年
武汉·江夏·豹澥,Java工程师,润和软件,1000-9999人,上市公司,计算机软件,10500.0,本科,JavaScript Spring Java,3-5年
武汉·蔡甸·沌阳,中高级java工程师-武汉,武汉宝信信息技术有限公司,100-299人, ,计算机软件,12500.0,本科,Spring MySQL,5-10年
武汉·洪山·洪山街道,Java工程师,广东盘古信息科技股份有限公司,300-499人,民营,计算机软件,12500.0,本科,Spring Redis SPRING BOOT linux,3-5年
武汉·洪山·九峰,java工程师,软通动力信息技术(集团)股份有限公司,10000人以上,民营,互联网,13500.0,本科,MySQL Spring JavaScript Redis,5-10年
武汉·黄陂·滠口,中高级java工程师,北京瑞天欣实数据科技有限公司,20-99人,其它,IT服务,13500.0,本科, ,3-5年
武汉·蔡甸·沌口,java工程师,湖北领智教育科技有限公司,20-99人, ,计算机软件,15000.0,本科, ,5-10年
武汉·武昌,高级java工程师,软通动力信息技术(集团)股份有限公司,10000人以上,民营,互联网,13500.0,本科,JavaScript Java,5-10年
武汉·江夏·豹澥,java工程师/高校教师,成都智畅信息科技发展有限公司,100-299人,上市公司,计算机软件,10000.0,硕士,JavaScript,经验不限
武汉·洪山·花山,java工程师（线上面试/反馈快）,拓保软件,1000-9999人,民营,计算机软件,13000.0,本科,Spring Mybatis Oracle MySQL Redis,5-10年
武汉·江夏·豹澥,Java-五险一金/全勤奖,科锐尔人力资源服务(苏州)有限公司,1000-9999人,上市公司,咨询服务,22500.0,本科,后端开发 SpringBoot SpringCloud SpringMVC Java Python,经验不限
武汉·蔡甸·沌口,java工程师实习岗,湖北领智教育科技有限公司,20-99人, ,计算机软件,125.0,本科,Spring Mybatis,无经验
武汉·江夏·佛祖岭,高级java工程师,北京万古科技,100-299人,其它,计算机软件,12500.0,本科,ElasticSearch SPRINGCLOUD Oracle MySQL Redis JVM SPRING BOOT,5-10年
武汉·武昌,中高级java工程师-武汉yw,东华软件股份公司,1000-9999人,上市公司,计算机软件,,本科,Spring Mybatis MySQL,3-5年
武汉·硚口·韩家墩,高级java工程师（古田四路）,光谷信息,500-999人,股份制企业,计算机软件,16500.0,本科,SPRING CLOUD MySQL NoSQL Redis,5-10年
武汉·江夏·佛祖岭,高级java工程师,易诚互动,1000-9999人,股份制企业,互联网,15000.0,本科,JavaScript Spring,5-10年
武汉·东湖高新区·关东,初级Java工程师,融捷科技(武汉)有限公司,100-299人,外商独资,计算机软件,6500.0,本科,Java,1-3年
武汉·洪山·九峰,高级Java工程师,北京傲韦科技有限公司,100-299人,股份制企业,计算机软件,12500.0,本科, ,5-10年
