city,position,company_name,company_size,company_type,company_industry,salary,education,ability,experience
深圳·龙华·龙华,中高级java工程师,深圳市泓海科技有限公司,20-99人, ,物联网,14500.0,本科,Python CSS JavaScript,1-3年
深圳·南山·南山,高级 Java 工程师（金融信贷）,深圳市智力信息技术服务有限公司,100-299人,民营,企业服务,32500.0,本科,Spring Mybatis,5-10年
深圳·罗湖·南湖,高级java工程师,上海钦诚信息科技有限公司,20-99人, ,计算机软件,18000.0,本科,JavaScript Oracle,5-10年
深圳·南山·南山,Java工程师,天津市天夏企业管理咨询有限公司,20-99人,民营,咨询服务,32500.0,本科,Java,5-10年
深圳·龙岗·坂田,java工程师（远程线上，不需要现场）,北海智强人力资源管理有限公司,20人以下,民营,人力资源服务,22500.0,本科,Java Spring MySQL Oracle,经验不限
深圳·福田·莲花,JAVA工程师（太平保险）,英泽科技,100-299人,民营,计算机软件,13000.0,本科,JavaScript Spring MySQL,5-10年
深圳·光明·新湖,Java,北京科锐国际人力资源股份有限公司苏州分公司,1000-9999人,上市公司,咨询服务,15000.0,本科,JavaScript CSS,5-10年
深圳·龙华·民治,中高级java工程师,深圳市益普科技有限公司,20-99人,民营,计算机软件,15000.0,本科,JavaScript Spring MySQL Oracle,5-10年
深圳·罗湖·翠竹,高级java工程师,深圳市中熹珠宝有限公司,20-99人,港澳台公司,珠宝/首饰,17500.0,本科,Spring,5-10年
深圳·福田·福田街道,中高级java工程师,外企德科数字技术有限公司,10000人以上,上市公司,人力资源服务,18000.0,本科,Java,经验不限
深圳·福田·莲花,java工程师（风控-租赁-信贷）,长亮科技,1000-9999人,上市公司,计算机软件,15500.0,本科,高并发 多线程 SPRINGBOOT SPRINGCLOUD MySQL 分布式,3-5年
深圳·南山·南山,高级 Java 工程师,深圳市智力信息技术服务有限公司,100-299人,民营,企业服务,32500.0,本科,Mybatis Spring MySQL Redis,5-10年
深圳·南山·粤海,区块链JAVA工程师,深圳市天启旭达科技有限公司,100-299人,民营,互联网,20000.0,大专, ,3-5年
深圳·龙岗·园山,中高级java工程师,深圳市宏逸信息技术有限公司,20-99人, ,互联网,12500.0,本科,JavaScript Spring Mybatis MySQL Oracle SpringBoot RabbitMQ Nginx,3-5年
深圳·龙岗·坂田,高级java工程师,河南万马奔腾人力资源服务有限公司,100-299人,民营,人力资源服务,18000.0,本科,Java JavaScript Mybatis Spring SPRINGBOOT Spark SPRINGCLOUD,5-10年
深圳·龙岗·坂田,Java工程师,软通动力信息技术(集团)股份有限公司,10000人以上,民营,互联网,12500.0,本科,JavaScript,3-5年
深圳·南山·西丽,Java,北京科锐国际人力资源股份有限公司苏州分公司,1000-9999人,上市公司,咨询服务,20000.0,本科,Spring,3-5年
深圳·龙华·龙华,高级java工程师,深圳市荜力科技有限公司,100-299人,民营,计算机软件,16000.0,本科,JavaScript Spring Oracle,3-5年
深圳·福田·福田街道,JAVA工程师,深圳市嘉卉互联科技有限公司,20-99人,合资,计算机软件,16000.0,本科,SpringBoot SpringCloud SpringMVC 负载均衡技术 容器技术 Java Python JAVA开发,3-5年
深圳·福田·莲花,Java工程师（深圳）,广州重网科技有限公司,100-299人, ,人工智能,15500.0,大专,Java Spring Mybatis MySQL BOOSTRAP Redis,3-5年
