city,position,company_name,company_size,company_type,company_industry,salary,education,ability,experience
西安·莲湖·北院门,Java工程师（面试定薪）,云锐人才服务(上海)有限公司,100-299人,民营,人力资源服务,15000.0,大专,JavaScript C++ Spring Mybatis MySQL Oracle Redis,1-3年
西安·雁塔,高级java工程师,北京运通恒昌科技集团有限公司,20-99人, ,计算机软件,16000.0,本科,Spring JavaScript Hibernate Mybatis Oracle Redis SQLServer,5-10年
西安·雁塔·丈八沟,java工程师（全额公积金，线上面试，不需要现场）,外企德科数字技术有限公司,10000人以上,上市公司,人力资源服务,22500.0,本科,Spring Java SPRINGBOOT MySQL Oracle,经验不限
西安·雁塔,Java工程师,西安众航至诚电子信息科技有限公司,20-99人,民营,通信/网络设备,12000.0,本科,JavaScript MYBTIS,3-5年
西安·雁塔,中级Java工程师,北京运通恒昌科技集团有限公司,20-99人, ,计算机软件,12000.0,大专,JavaScript Spring Hibernate Mybatis Oracle Redis SQLServer,5-10年
西安·雁塔,Java工程师,中电金信软件有限公司,10000人以上,国企,计算机软件,15500.0,本科,后端开发 Eclipse Oracle SpringBoot SpringCloud SpringMVC IDEA,3-5年
西安·长安·王寺,java工程师,软通动力信息技术(集团)股份有限公司,10000人以上,民营,互联网,10500.0,本科,Java Spring Mybatis MySQL,1-3年
西安·未央·张家堡,中高级java工程师,北京行展软件科技有限公司,20-99人,民营,计算机软件,11000.0,本科,JavaScript Spring Oracle MySQL 借贷 金融项目,5-10年
西安·雁塔,Java工程师,西安易行慧通旅游发展有限公司,20-99人,民营,互联网,10000.0,本科,Hibernate Mybatis MySQL Oracle MongoDB Java SQL Elasticsearch,3-5年
西安·雁塔·鱼化寨,前后端Java工程师,中电金信软件有限公司,10000人以上,国企,计算机软件,15500.0,本科,react 英文面试 大学英语四六级,5-10年
西安·雁塔,高级java工程师-OA工作流/信创经验,北京神州数字科技有限公司,10000人以上,上市公司,计算机软件,16500.0,本科,Spring SPRINGBOOT SPRINGCLOUD MySQL Oracle Redis OA工作流、信创改造 FLOWABLE引擎 ACTIVITI工作流,5-10年
西安·雁塔·鱼化寨,高级java工程师,美林数据技术股份有限公司,500-999人,股份制企业,计算机软件,30000.0,本科,Spring Mybatis MySQL Oracle Redis 架构设计,5-10年
西安·雁塔·鱼化寨,中高级java工程师-西安yw,东华软件股份公司,1000-9999人,上市公司,计算机软件,,本科,Spring Mybatis MySQL,3-5年
西安·雁塔,java工程师,西安锦多奢护网络科技有限公司第一分公司,20-99人, ,电子商务,16500.0,大专,五险一金,1-3年
西安·长安·郭杜,佑君Java工程师,国际医学,10000人以上,上市公司,卫生服务,10000.0,本科,Java,3-5年
西安·雁塔·鱼化寨,高级java工程师,上海钦诚信息科技有限公司,20-99人, ,计算机软件,17000.0,本科,JavaScript Spring MySQL 银行,5-10年
西安·雁塔,高级java工程师,西安众航至诚电子信息科技有限公司,20-99人,民营,通信/网络设备,15000.0,本科,JavaScript MYBTIS,3-5年
西安·雁塔·鱼化寨,高级java工程师,中软国际,10000人以上,上市公司,计算机软件,,本科,SSH SpringBoot SpringCloud SpringMVC Redis Oracle,5-10年
西安·碑林·张家村,Java工程师,西安笃定信息技术有限公司,20-99人,民营,计算机软件,10000.0,大专,后端开发 Java RabbitMQ MySQL SpringBoot 微服务架构,3-5年
西安·雁塔·大雁塔,Java工程师,中科软科技股份有限公司,1000-9999人,股份制企业,计算机软件,8000.0,本科,JavaScript,3-5年
