city,position,company_name,company_size,company_type,company_industry,salary,education,ability,experience
重庆·沙坪坝·曾家,JAVA工程师,重庆万普隆能源技术有限公司,300-499人,民营,石油/石化,14000.0,本科,JavaScript,5-10年
重庆·渝北·康美,高级java工程师(J10938),重庆啄木鸟网络科技有限公司,1000-9999人,民营,互联网,16500.0,大专, ,5-10年
重庆·渝中·解放碑,高级java工程师,九章开物(重庆)科技有限公司,100-299人,国企,互联网,12500.0,本科,JavaScript Spring MySQL SQLServer,5-10年
重庆·渝北·龙塔,java工程师,深圳警圣技术股份有限公司,100-299人,股份制企业,通信/网络设备,8000.0,大专,JavaScript,经验不限
重庆·九龙坡·二郎,中高级java工程师,慧都科技,100-299人,民营,计算机软件,9500.0,本科,Spring 微服务 架构师,3-5年
重庆·江北·石马河,中级java工程师,鉴微数字科技(重庆)有限公司,100-299人,合资,IT服务,14000.0,本科, ,3-5年
重庆·渝北·龙塔,java工程师,深圳警圣技术股份有限公司,100-299人,股份制企业,通信/网络设备,10500.0,本科,JavaScript,3-5年
重庆·渝北·大竹林,高级Java工程师（自研非外包）,重庆麦芽传媒有限公司,1000-9999人,其它,广播/影视,14000.0,本科,JavaScript Mybatis Spring MySQL Redis,3-5年
重庆·渝北·仙桃,Java工程师（分布式 微服务）,软通动力信息技术(集团)股份有限公司,10000人以上,民营,互联网,11500.0,本科,JavaScript Spring MySQL MES,3-5年
重庆·渝北·大竹林,Java工程师,北京金电恒通科技有限公司,100-299人,其它,计算机软件,8500.0,本科, ,1-3年
重庆·渝北·龙溪,IT转型人才发展计划 - [具体岗位方向，如软件开发工程师、java工程师、网络安全等],成都蜗牛创想科技有限公司,100-299人,民营,互联网,7000.0,大专,软件运维 网络运维 系统运维 Python Java C#,经验不限
重庆·渝中·解放碑,高级java工程师,成都天用唯勤科技股份有限公司厦门分公司,1000-9999人,股份制企业,IT服务,10500.0,本科, ,5-10年
重庆·渝北·仙桃,Java工程师（多岗位）,软通动力信息技术(集团)股份有限公司,10000人以上,民营,互联网,12000.0,本科,JavaScript CSS MongoDB Spring Mybatis Redis MySQL MES C# .NET 电商,3-5年
重庆·渝北·鸳鸯,技术经理兼高级java工程师,重庆夔牛科技有限公司,100-299人,民营,物联网,19000.0,本科,Java 微服务架构 分布式技术 多线程 后端开发 SpringCloud,5-10年
重庆·渝北·大竹林,高级java工程师,中科迅联智慧网络科技(北京)有限公司,100-299人,民营,企业服务,19000.0,本科,JavaScript Spring Redis,5-10年
重庆·渝北·仙桃,高级java工程师,软通动力信息技术(集团)股份有限公司,10000人以上,民营,互联网,12500.0,本科,JavaScript C++ Spring Mybatis MySQL 分布式 高并发 大数据处理,5-10年
重庆·沙坪坝·土主,中级java工程师,银雁科技服务集团,10000人以上,民营,计算机软件,11000.0,本科,JavaScript Spring,5-10年
重庆·渝中·解放碑,初级java工程师,成都天用唯勤科技股份有限公司厦门分公司,1000-9999人,股份制企业,IT服务,10500.0,本科, ,1-3年
重庆·渝北·仙桃,中级java工程师,软通动力信息技术(集团)股份有限公司,10000人以上,民营,互联网,10000.0,本科,JavaScript Spring MySQL MongoDB MES,3-5年
重庆·鸳鸯,中高级java工程师,武汉中驿科技有限公司,20-99人,民营,计算机软件,11500.0,本科,Java Spring 数据库 系统架构 小程序 Web前端 后端开发 SpringBoot,3-5年
